ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Restaurant_name_length
211,Koramangala,Bangalore,Tandoor Hut,300.0,4.4,100,"Biryani,Chinese,North Indian,South Indian",5Th Block,11
221,Koramangala,Bangalore,Tunday Kababi,300.0,4.1,100,"Mughlai,Lucknowi",5Th Block,13
246,Jogupalya,Bangalore,Kim Lee,650.0,4.4,100,Chinese,Double Road,7
248,Indiranagar,Bangalore,New Punjabi Hotel,250.0,3.9,500,"North Indian,Punjabi,Tandoor,Chinese",80 Feet Road,17
249,Indiranagar,Bangalore,Nh8,350.0,4.0,50,"Rajasthani,Gujarati,North Indian,Snacks,Desserts,Beverages,Thalis,Chaat",80 Feet Road,3
254,Indiranagar,Bangalore,Treat,800.0,4.5,100,"Mughlai,North Indian",100 Feet Road,5
258,Indiranagar,Bangalore,Chinita Real Mexican Food,1000.0,4.5,500,"Mexican,Beverages,Salads",Double Road,25
263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150.0,4.3,100,"Desserts,British,Bakery,Pizzas,Snacks",4Th Block,44
267,Domlur,Bangalore,Tea Brew,350.0,4.1,100,"American,Italian,Beverages,Continental,Chinese,Pastas,Pizzas,Fast Food",Double Road,8
308,Koramangala,Bangalore,Bangaliana,300.0,4.0,500,Bengali,7Th Block,10
435,Koramangala,Bangalore,Bamey'S Restro Cafe,400.0,4.4,100,"Chinese,Thai,Nepalese",5Th Block,19
446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250.0,4.3,500,"North Indian,Chinese",Cooke Town,28
453,Pulikeshi Nagar,Bangalore,Chichabas Taj,532.0,4.2,100,"Mughlai,North Indian,Biryani",Mm Road,13
464,Sivanchetti Gardens,Bangalore,Urban Solace,500.0,2.9,80,"American,Continental",Ulsoor Lake,12
504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150.0,4.3,100,"Fast Food,Beverages,Bengali,Biryani,Indian,North Indian,Snacks,Street Food",Domlur Layout,24
604,Koramangala,Bangalore,Aalishan Restaurant & Caterer,290.0,4.3,100,"Mughlai,North Indian",7Th Block,29
608,Domlur,Bangalore,Kerala Pavilion,300.0,4.1,100,"Kerala,Seafood",Domlur Layout,15
621,Indiranagar,Bangalore,Kitchen Of Joy,250.0,4.4,100,"Bengali,Fast Food,Chinese",Domlur,14
1050,Jayanagar,Bangalore,Nagarjuna Chimney,800.0,4.2,1000,"Seafood,Andhra,Biryani,South Indian,Combo,Desserts,Beverages",3Rd Block,17
1299,Film Nagar,Hyderabad,So. The Sky Kitchen,800.0,2.9,80,"Mughlai,North Indian,Chinese,Thai,Asian",Near Apollo Health City Gate,19
1304,Indiranagar,Bangalore,Esplanade,1200.0,4.3,100,"Mughlai,Bengali",I Indirangar,9
1457,Banashankari,Bangalore,Hotel New Karavali,250.0,3.8,100,"North Indian,Chinese,South Indian",Bsk 1St Stage,18
1547,Masab Tank,Hyderabad,Dine Hill,400.0,4.1,500,"Arabian,Biryani,North Indian,Chinese",Ahmed Nagar,9
1590,Banjara Hills,Hyderabad,Sarvi Restaurant,400.0,4.1,5000,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Road 11,16
1593,Banjara Hills,Hyderabad,Sarvi Bakery,250.0,4.1,100,"Desserts,Fast Food,Bakery",Opposite Care Hospital Road 11 Banjara Hills,12
1609,Andheri East,Mumbai,Kung Fu Panda,600.0,4.3,100,Chinese  Thai  Asian,Marol,13
1617,Powai,Mumbai,Kosho,300.0,4.2,100,"Mughlai,North Indian,Chinese,Seafood,Italian",Chandivali,5
1844,Punjagutta,Hyderabad,Chinese Pavilion,850.0,4.3,500,"Chinese,Seafood",Nagarjuna Circle,16
1848,Banjara Hills,Hyderabad,Chef Inam'S Steak House,1200.0,4.2,100,"Steakhouse,American",Sri Ram Nagar Colony Banjara Hills,23
1874,Indiranagar,Bangalore,Mamagoto,900.0,4.2,100,"Chinese,Asian,Pan-Asian,Thai,Oriental",Mamagoto,8
1884,Powai,Mumbai,Hakka Express,300.0,4.0,100,"Chinese,Asian,Thai",Narayan Plaza,13
2008,Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,200.0,4.3,500,"British,Italian,Indian,Chinese,South Indian,North Indian,Desserts",1St Stage,31
2042,Aundh,Pune,Juice Destination,200.0,4.2,500,"Thalis,North Indian,Punjabi,Beverages",Iti Road Aundh,17
2047,Aundh,Pune,Hyderabadi Spice,400.0,4.2,1000,"Biryani,Mughlai,North Indian,Chinese",Parihar Chowk,16
2102,Aundh,Pune,Cafe Peterdonuts,400.0,4.1,50,"Continental,Desserts",Gaikwad Nagar,16
2250,Baner,Pune,Karolbaug,750.0,4.1,50,"Mughlai,North Indian,Chinese,Biryani",Sakal Nagar,9
2312,Powai Area,Mumbai,The Punjabi'S Kitchen,500.0,4.4,500,North Indian,Guru Hargobindji Marg  Andheri East,21
2344,Ramgopalpet,Hyderabad,Aangan - Yatri Nivas,500.0,4.1,100,North Indian  South Indian,S P Road,20
2348,Kalasiguda,Hyderabad,Bluefox,800.0,4.2,1000,Biryani  North Indian  Chinese  Tandoor,Sd Road,7
2516,Aundh,Pune,Taaareef,1100.0,4.4,100,"Mughlai,North Indian,Seafood,Biryani",Iti Road,8
2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,300.0,4.2,1000,North Indian  Chinese  Desserts  Continental  South Indian,Sd Road,27
2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,600.0,4.2,500,"Ice Cream,Beverages,Desserts,Chaat,Italian",New Mla Quarters,13
2777,Adarsh Nagar,Hyderabad,Ohri'S Ming'S Court,500.0,4.0,1000,Chinese,New Mla Quarters,19
2795,Himayatnagar,Hyderabad,Minerva Coffee Shop,500.0,4.3,1000,"South Indian,North Indian,Chinese",Himayath Nagar Road,19
2796,Himayatnagar,Hyderabad,Bluefox,800.0,4.1,1000,"Biryani,North Indian,Chinese,Tandoor",Himayath Nagar Road,7
2811,Ashok Nagar,Bangalore,Art Of Delight,250.0,4.6,100,"Ice Cream,Desserts,Beverages",Residency Road,14
2820,Commercial Street,Bangalore,Khan Saheb Grills And Rolls,300.0,4.3,50,"Tandoor,Mughlai,North Indian,Kebabs",Kamaraj Road,27
2824,Richmond Town,Bangalore,Fanoos,300.0,4.2,500,"Biryani,Tandoor,Kebabs,Barbecue,Fast Food",Hosur Road,6
2827,Richmond Town,Bangalore,In Wok,500.0,4.3,100,Chinese,Richmond,6
2832,Ashok Nagar,Bangalore,Lakeview Milkbar,450.0,4.1,100,"Desserts,Ice Cream,Bakery,Fast Food",Mg Road,16
2839,Ashok Nagar,Bangalore,C Sharp Kitchen,300.0,2.9,80,"Chinese,Continental,Fast Food",Church Street,15
2840,Ashok Nagar,Bangalore,Roomali,1000.0,4.4,100,"North Indian,Indian",Church Street,7
2843,Ashok Nagar,Bangalore,Tadka Singh,300.0,4.2,100,"Punjabi,North Indian",Church Street,11
2914,Ashok Nagar,Bangalore,Bheemas,550.0,4.3,100,Andhra,Church Street,7
2915,Vasanth Nagar,Bangalore,Watson'S,450.0,2.9,80,Fast Food,1St Main Road,8
2964,Andheri East,Mumbai,Sai Leela,500.0,4.2,20,"Mughlai,North Indian,Chinese,Seafood",Andheri East,9
3007,Bhowanipore,Kolkata,Tandoori Darbar,500.0,4.4,100,"North Indian,Chinese,Tandoor,Biryani,Beverages,Desserts",Hazra Road,15
3010,Ballygunge,Kolkata,Ballygunge Dhaba,500.0,4.3,500,"North Indian,Biryani,Chinese",Ballygunge,16
3018,Gariahat,Kolkata,Tero Parbon,500.0,4.3,100,Bengali,Purna Das Road Hindustan Park,11
3020,Ballygunge,Kolkata,Wise Owl The Coffee Shop,700.0,4.3,100,"Continental,American,Cafe",Purnadas Road,24
3022,Gariahat,Kolkata,Aminia Restaurant- Golpark,500.0,4.3,1000,"Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor",Ballygunge Gardens,26
3025,Gariahat,Kolkata,Bedouin - Sher E Bengal,500.0,2.9,80,"North Indian,Chinese,Bengali",Gariahat Road Gariahat,23
3031,Ballygunge,Kolkata,Sharma Dhaba,300.0,4.2,1000,North Indian  Fast Food  Tandoor  Biryani  Kebabs  Snacks  Chinese,Ballygunge Circular Road  Ballygunge Maidan Camp  Ballygunge,12
3063,Indiranagar,Bangalore,Kund Indian Barbeque,200.0,4.2,100,"Mughlai,North Indian,Biryani,Kebabs,Desserts",1St Stage,20
3071,Bhowanipore,Kolkata,Jai Hind Dhaba,500.0,4.3,1000,"North Indian,Indian,Tandoor,Kebabs,Punjabi,Home Food,Chinese",Sarat Bose Road Paddapukur,14
3074,Kalighat,Kolkata,Tamarind,1100.0,4.4,100,"North Indian,South Indian",Sarat Bose Road Desapriya Park,8
3207,Pulikeshi Nagar,Bangalore,Pathaan Sir,300.0,4.2,100,Fast Food,Coles Road,11
3265,Indiranagar,Bangalore,Chaipatty,200.0,3.9,50,"Fast Food,Beverages,Pizzas,Street Food,Snacks",Hanumanthanagar,9
3279,Powai Area,Mumbai,5 Spice,1100.0,4.2,500,"Chinese,Desserts",Powai Area,7
3324,Punjagutta,Hyderabad,Srikanya,250.0,4.1,1000,"Andhra,Seafood",Punjagutta Road,8
3326,Sion,Mumbai,Cafe Vrindavan,500.0,4.3,100,"North Indian,Chinese,South Indian",Sion Station,14
3329,Mumbai,Mumbai,Ramdeo,450.0,4.0,500,"North Indian,Chinese,South Indian,Fast Food",Sion Station,6
3331,Mumbai,Mumbai,Shabari,400.0,3.9,100,"North Indian,South Indian,Fast Food",Sion West,7
3332,Rajajinagar,Bangalore,The Purple Pan,400.0,4.1,1000,"Mughlai,North Indian,Chinese,Arabian",Dr. Rajkumar Road,14
3350,Pulikeshi Nagar,Bangalore,Moriz Nano,500.0,2.9,80,"North Indian,Chinese,Biryani,Seafood",Lakeview,10
3369,Ashok Nagar,Bangalore,Truffles,450.0,4.5,1000,"American,Desserts,Continental,Italian",St. Marks Road,8
3439,Golpark,Kolkata,The Grub Club,400.0,4.3,1000,"Italian,Chinese,Thai",Golpark,13
3454,Koramangala,Bangalore,Lazeez,500.0,4.2,500,"North Indian,Mughlai",5Th Block,6
3531,Shivajinagar,Pune,Marrakesh,300.0,4.0,100,"Lebanese,North Indian,Afghani,Mughlai,Combo,Biryani,Kebabs,Mediterranean,Arabian,Middle Eastern,Desserts",Fc Road,9
3549,Banjara Hills,Hyderabad,Keshav Reddy Sweets,150.0,4.2,500,"Sweets,Bakery,Desserts,Fast Food,Street Food,Chaat",Road No 2,19
3813,Gariahat,Kolkata,Kimli,600.0,4.4,100,"Chinese,Seafood",Purnadas Road,5
3830,Koregaon Park,Pune,Prem'S,1200.0,4.2,100,"North Indian,Chinese,Continental,Asian,Desserts,Beverages",Koregaon Park,6
3835,Deccan Gymkhana,Pune,The Chocolate Room,450.0,2.9,80,"Desserts,Continental,Fast Food",Fc Road,18
3855,Koregaon Park,Pune,Uncle'S Chinese,350.0,4.1,1000,"Chinese,Thai,Malaysian",Koregaon Park,15
3889,Jayanagar,Bangalore,House Of Kebab'S,500.0,3.7,50,"North Indian,Chinese,Biryani",Rv Road,16
3914,Karkhana,Hyderabad,Oh So Stoned,300.0,3.9,100,Ice Cream  Desserts,Vikrampuri Colony,12
4051,Kothrud,Pune,Zest Cafe Bar,250.0,4.2,20,"Chinese,Fast Food",Ideal Chambers  Kothrud,13
4064,Koregaon Park,Pune,Seven - Shawarma And Burgers,250.0,3.9,100,"Lebanese,Fast Food,Snacks,Arabian",Koregaon Park,28
4086,Kothrud,Pune,Rushhrs,250.0,4.3,100,"Salads,Healthy Food",Karishma Housing Society,7
4087,Erandwane,Pune,Aroma'S Hyderabad House - Karve Road,400.0,4.2,500,"Biryani,Mughlai,North Indian,Chinese",Karve Road,36
4138,Koti,Hyderabad,Grand Hotel,300.0,4.1,10000,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",Abids Road,11
4188,Dilsukhnagar,Hyderabad,Tipsy Topsy,250.0,3.7,500,Chinese  Italian  Desserts  Bakery  Fast Food,Dilsukhnagar Main Road,11
4248,Nagole,Hyderabad,Hotel Swagath Grand - Dhanturi Group Of Hotels,300.0,3.9,1000,"Biryani,Chinese,South Indian,North Indian,Tandoor",Alkapuri X Roads,46
4252,Chandrapuri Colony,Hyderabad,Hotel Sitara Grand - Dhanturi Group Of Hotels,300.0,3.8,1000,"Biryani,Chinese,South Indian,North Indian,Tandoor",L B Nagar,45
4256,Kothapet,Hyderabad,Nakshatra Inn Multi Cuisine Restaurant,300.0,3.8,100,"Biryani,Chinese,North Indian,South Indian",Lakshmi Nagar Colony,38
4320,Narayanguda,Hyderabad,Mehfil,300.0,3.9,10000,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",Narayanguda,6
4338,Fc Road,Pune,The Burger Barn Cafe,300.0,4.1,100,"American,Fast Food",Ghole Road,20
4429,Park Street Area,Kolkata,Sip & Sandwich,300.0,2.9,80,Pastas  Beverages  Fast Food,Park Street,14
4430,Beniapukur,Kolkata,Shiraz Golden Restaurant,500.0,4.4,1000,"Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor",Park Street,24
4484,Park Street Area,Kolkata,Mocambo,1500.0,4.4,1000,"North Indian,Biryani,Continental,Italian",Park Street,7
4558,Bidhannagar,Kolkata,The Scoop,400.0,4.1,100,"North Indian,Chinese,South Indian,Fast Food",Sector 1,9
4565,Bidhannagar,Kolkata,Kaafila,1600.0,3.9,50,"Mughlai,North Indian",Sector 1,7
4587,Bidhannagar,Kolkata,Ranjan'S,200.0,4.2,100,"North Indian,Chinese",Sector 3,8
4599,Bidhannagar,Kolkata,Balle Balle Dhaba,500.0,4.1,1000,"North Indian,Punjabi,Biryani",Sector 1,17
4600,Bidhannagar,Kolkata,Le Coffee Creme,600.0,3.9,50,"Combo,Chinese,Continental,Italian,Fast Food,Mexican",Sector 1,15
4614,Himayatnagar,Hyderabad,Crystal Restaurant,350.0,3.9,1000,"Biryani,North Indian,Chinese",Rtc X Roads,18
4650,New Nallakunta,Hyderabad,Bawarchi,300.0,3.9,10000,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Rtc X Roads,8
4739,Sivanchetti Gardens,Bangalore,The Grill House - Steaks & Sizzlers,1100.0,4.2,100,"American,Steakhouse,Italian,Mexican,Continental,Mediterranean,Desserts,Grill,Salads,Pastas,Pizzas,Lebanese",Kensington Point,35
4774,Adikmet,Hyderabad,Us Pizza,200.0,3.2,20,"Italian,Pizzas,Fast Food,Beverages,Desserts",O.U Road,8
4776,Amberpet,Hyderabad,Surabhi Grand,300.0,4.0,500,"Mughlai,North Indian,Chinese,Seafood",Tilaknagar,13
4781,Himayatnagar,Hyderabad,Bluedragon By Mandilicious,300.0,4.2,20,Chinese,Himayathnagar,26
4783,Adikmet,Hyderabad,Frosty Den,200.0,2.2,20,"Ice Cream,Pizzas,Fast Food,Beverages,Desserts",O.U Road,10
4810,Banjara Hills,Hyderabad,Sitara Grand - Nizami Pakwaan,300.0,3.6,100,"Biryani,Chinese,South Indian,North Indian,Tandoor",Road No 12,29
4841,Karve Nagar,Pune,Cheesiano Pizza,500.0,3.9,100,"Italian,Pizzas,Fast Food",Karvenagar,15
4853,Domlur,Bangalore,Venus Biryani,200.0,4.1,500,Biryani,3Rd Cross,13
4956,Andheri East,Mumbai,Rj Spice,450.0,4.1,20,Chinese  Thai  Fast Food,Jb Nagar  Andheri East,8
5107,Agarkar Nagar,Pune,Blue Nile,1000.0,4.2,1000,"Biryani,Mughlai,Tandoor,Chinese,Desserts,Ice Cream,Beverages",Bund Garden Road,9
5119,Koregaon Park,Pune,Arthur'S Theme,800.0,4.3,100,"Italian,European",Lane No 6 Opp Cosmos Bank Kp,14
5120,Mundhwa,Pune,Carnival Restaurant & Bar,1000.0,4.2,100,"North Indian,Chinese,Seafood,Continental",Mundhwa Road Kp,25
5139,Shivajinagar,Pune,Smokin' Joe'S,400.0,4.0,50,"American,Fast Food",Jm Road,13
5150,Mohammed Wadi,Pune,Chai - The Way You Like It,250.0,4.0,50,Fast Food,Salunkhe Vihar Road,26
5157,Shivajinagar,Pune,Mainland China,850.0,4.4,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Pyramid Mall,14
5172,Bandra Area,Mumbai,Theobroma,800.0,4.7,500,"Desserts,Bakery,Beverages",Bandra Area,9
5208,Paschim Vihar,Delhi,Deli 63,400.0,2.9,80,"Street Food,Fast Food",Punjabi Bagh,7
5221,Malleshwaram,Bangalore,Food Paradise,326.0,3.9,100,"Mughlai,North Indian,Chinese,Fast Food",Malleshwaram,13
5247,Ashok Nagar,Bangalore,Corner House Ice Cream,250.0,4.7,1000,"Ice Cream,Desserts",Residency Road,22
5251,Kalighat,Kolkata,Bachan'S Dhaba,250.0,4.3,5000,"North Indian,Chinese",Near Kalighat Metro Rash Behari Avenue,14
5255,Ballygunge,Kolkata,Mainland China,850.0,4.5,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Ballygunge,14
5285,Lakdikapul,Hyderabad,Chicha'S,200.0,3.8,500,"Biryani,Hyderabadi,Indian,Street Food",P & T Officers Colony,8
5297,Deccan Gymkhana,Pune,Le Plaisir,1000.0,4.5,500,"Italian,Continental,European,Desserts",Prabhat Road Deccan,10
5370,Deccan Gymkhana,Pune,Cafe Goodluck,200.0,4.4,100,"North Indian,Fast Food,Biryani,Cafe,Snacks,Beverages,Bakery",Shivajinagar,13
5408,Camp,Pune,George Restaurant,600.0,4.3,1000,"North Indian,Chinese,Biryani,Mughlai,Parsi,Fast Food",East Street,17
5496,Camp,Pune,Marzorin,200.0,4.4,1000,"Fast Food,Bakery,Beverages,Snacks,Desserts",Mg Road,8
5504,Antop Hill,Mumbai,Monica Chinese Fast Food,350.0,3.9,50,Chinese,Antop Hill,24
5538,Kothapet,Hyderabad,Kinara Grand,750.0,3.9,1000,"North Indian,Chinese,Biryani",Ashta Laxmi Temple,12
5549,New Tippasandra,Bangalore,Dal Roti Sabji,150.0,4.5,100,North Indian,80Ft Road,14
5573,Ashok Nagar,Bangalore,Mainland China,850.0,4.3,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Church Street,14
5582,Vasanth Nagar,Bangalore,Shezan,600.0,4.3,100,"North Indian,Chinese,Continental,Mughlai",Cunnigham Road,6
5596,Vasanth Nagar,Bangalore,Dolci Desserts,600.0,4.5,50,"Desserts,Pastas",Cunnigham Road,14
5624,Deccan Gymkhana,Pune,Subway,350.0,4.4,100,"Fast Food,Healthy Food,Salads,Snacks,Desserts,Beverages",Fc Road,6
5691,Bandra Area,Mumbai,Smoke House Deli,600.0,4.4,100,"European,Italian,American,Pastas,Salads,Juices,Desserts,Combo",Bandra Area,16
5743,Bhawani Peth,Pune,Madinah,200.0,4.0,500,"Mughlai,North Indian,Chinese,Biryani",Poona College,7
5802,Bidhannagar,Kolkata,First Innings - The Stadel Hotel,800.0,4.5,20,"North Indian,Chinese,Continental",Sector 3,32
5862,Basheer Bagh,Hyderabad,Meghacity,500.0,4.4,1000,"North Indian,Chinese",Basheerbagh X Road,9
5878,Kalyani Nagar,Pune,Salad Grills,300.0,4.3,100,"Healthy Food,Salads,Fast Food,Continental,North Indian,Chinese",Hermes Parai,12
5882,Ashok Nagar,Bangalore,Oh! Calcutta,800.0,4.3,100,Bengali,Church Street,12
5893,Shankarapura,Bangalore,Polar Bear,300.0,4.5,100,"Desserts,Fast Food",Vv Puram,10
5908,Vasanth Nagar,Bangalore,Miller'S 46,1100.0,4.4,100,"Steakhouse,American,Continental",Cunnigham Road,11
5916,Sivanchetti Gardens,Bangalore,Carnival De Goa,500.0,4.1,100,"Goan,Mangalorean,Kerala,South Indian,Seafood,Coastal,Continental",Kensington Point,15
5989,Elgin,Kolkata,The Rouge,400.0,4.4,50,Desserts  Bakery,Near Bishop'S College  Kolkata,9
5994,Bidhannagar,Kolkata,The Darjeeling,500.0,4.0,100,"Chinese,Nepalese,Tibetan",Near City Centre 1,14
6075,Paschim Vihar,Delhi,London Grill Co,500.0,4.0,1000,"American,Healthy Food,Fast Food,Continental,Salads,Beverages,Desserts",Paschim Vihar,15
6328,Mumbai,Mumbai,Mughal Fusions,300.0,3.9,100,"Mughlai,North Indian,Chinese,Seafood",Lbs Marg,14
6329,Kurla West,Mumbai,Mughal Darbaar,300.0,3.7,500,"Mughlai,North Indian,Chinese,Seafood",Lbs Marg,14
6332,Saki Naka,Mumbai,Naaz Hotel,750.0,4.1,500,"Mughlai,North Indian,Chinese",Kurla West,10
6345,Teynampet,Chennai,Amaravathi,650.0,4.2,100,"Indian,Chinese,Andhra,Tandoor",Cathedral Road,10
6358,Nandanam,Chennai,Eatalica,500.0,4.5,100,"Italian,American",Ra Puram,8
6493,Rajajinagar,Bangalore,Kudla Beach,400.0,3.9,20,"North Indian,Chinese,Seafood,South Indian",Dr. Rajkumar Road,11
6518,Langford Gardens,Bangalore,Rolls Kitchen,200.0,4.4,500,Fast Food,Shanthi Nagar,13
6577,Punjagutta,Hyderabad,Zyqa Restaurant,200.0,4.0,500,"North Indian,Biryani,Chinese",Punjagutta,15
6585,Himayatnagar,Hyderabad,Sahara Bakers,200.0,3.8,500,"Bakery,Pizzas",Chikadpally,13
6663,Kurla West,Mumbai,Mughal Dhaba,500.0,4.0,20,"Mughlai,North Indian,Chinese",Lbs Marg Kurla West,12
6723,Deccan Gymkhana,Pune,Spring Onion,500.0,4.3,100,"Chinese,Thai,Pan-Asian,Seafood",Bhandarkar Road,12
6745,Koti,Hyderabad,Tibbs Frankie,150.0,4.3,100,Snacks,Hanuman Tekdi Road,13
6775,Kalighat,Kolkata,Petuk,350.0,4.0,20,"Mughlai,Chinese,Fast Food",Near Sujata Sadan Theater Hazra,5
6850,Malleshwaram,Bangalore,Shanthi Sagar Grand,200.0,4.0,100,"North Indian,South Indian,Fast Food",Sampige Road,19
6851,Abids,Hyderabad,Agrawala Sweets,250.0,4.3,100,"Sweets,Fast Food",Jn Road,15
6917,Powai,Mumbai,Eagle Boys Pizza,600.0,3.7,100,Pizzas  Fast Food,Chandivali,16
6924,Richmond Town,Bangalore,Freshmenu,250.0,4.1,1000,"Chinese,Continental,Italian,Mediterranean,Thai,Lebanese,American,Asian,Beverages,Bakery,Biryani,Desserts,Mexican,North Indian,Salads,Pizzas",Aga Abdullah Street,9
7002,Himayatnagar,Hyderabad,Angaara,250.0,3.9,100,"Indian,Chinese,Tandoor",Street 4,7
7029,Santacruz East,Mumbai,Golden Wave Restaurant,1000.0,2.9,80,"North Indian,Chinese,Continental",Santacruz East,22
7199,Bidhannagar,Kolkata,Afraa Deli-Sector 1,700.0,4.3,50,"Continental,Fast Food,Italian,Beverages",Sector 1,19
7204,Bidhannagar,Kolkata, Conclave At Afraa,850.0,3.9,50,"Italian,Indian,Continental",Salt Lake City Centre,18
7341,Ashok Nagar,Bangalore,Shiro,1400.0,4.4,100,"Japanese,Asian",Vittal Mallya Road,5
7412,Khairtabad,Hyderabad,Paradise Biryani,400.0,3.9,100,Biryani  North Indian  Chinese,Imax Road,16
7415,Aundh,Pune,Delhi Kitchen,300.0,4.0,100,"Tandoor,North Indian,Biryani,Beverages,Desserts",Dp Road,13
7626,Vishnu Garden,Delhi,Sethi Restaurant,300.0,4.0,1000,North Indian,Pacific Mall,16
7674,Beleghata,Kolkata,Mama Mia! - Italian Ice Creams,200.0,4.7,100,Ice Cream Cakes  Desserts  Bakery  Sweets  Beverages,Beleghata,30
7689,Lake Town,Kolkata,Buddha Bites-Jessore Road,300.0,3.7,1000,"Chinese,Asian,Fast Food,Snacks,Tibetan",Jessore Road,25
7776,Gopalapuram,Chennai,The Kati Roll Shop,250.0,4.3,1000,Street Food,Cathedral Road,18
7784,Powai Area,Mumbai,Asia Kitchen By Mainland China,850.0,4.3,100,"Asian,Chinese,Oriental",Powai Area,30
7826,Alwarpet,Chennai,Benjarong,1500.0,4.6,100,Thai,Ttk Road,9
7828,Mylapore,Chennai,Kaaraikudi,500.0,3.6,100,Chettinad,Dr Radhakrishnan Salai,10
7859,Central Markt Punjabi Bagh,Delhi,Wok In The Clouds,1500.0,4.5,50,"North Indian,Chinese,Thai,Continental",Punjabi Bagh,17
7898,Golpark,Kolkata,Crossroad Crystal - Golpark,350.0,4.1,50,"Indian,Chinese,Bengali",Golpark,27
7940,Andheri East,Mumbai,99 East,300.0,2.9,80,North Indian  Chinese  Seafood,Andheri East,7
8009,Pashan,Pune,Saffron Multicuisine,400.0,4.5,20,"Mughlai,North Indian,Chinese,Seafood,Tandoor",Orange County Baner Pashan Link Road,20
8040,South Kolkata,Kolkata,Second House,500.0,2.9,80,"North Indian,Chinese,Kebabs,Biryani,Mughlai",Southern Avenue,12
8046,Gariahat,Kolkata,Santa'S Fantasea,1200.0,4.3,100,"Tribal,Seafood,Chinese",Ballygunge Terrace Near Anjali Jewellers Golpark,16
8093,Punjagutta,Hyderabad,Akson Restaurant,250.0,4.3,1000,"North Indian,Biryani,Kerala",Panjagutta Road,16
8139,Kotturpuram,Chennai,Ciclo Cafe,1100.0,4.4,1000,"Continental,Italian,Italian-American",Alwarpet,10
8175,Paschim Vihar,Delhi,Chawla Kitchen,500.0,3.8,500,"Chinese,Mughlai,Indian,Snacks,Popular Brand Store,Fast Food",Punjabi Bagh,14
8205,Habsiguda,Hyderabad,Taste Of India,600.0,4.2,20,"North Indian,Chinese,Continental",Habsiguda Main Road,14
8213,Uppal,Hyderabad,Crunchy'S,150.0,3.8,20,"Italian,American",Uppal Ring Road,9
8241,Indiranagar,Bangalore,Paris Panini - French Street Food,450.0,4.4,1000,"French,Street Food",Hal 3Rd Stage,33
8272,Alwarpet,Chennai,Ashvita Bistro,500.0,4.1,20,"Continental,Asian",Alwarpet,14
8275,Alwarpet,Chennai,Gogo Momo,350.0,4.2,50,Chinese,Bava Road,9
8323,Punjabi Bagh,Delhi,Blue Water Grille,600.0,3.9,100,"North Indian,Chinese,Continental,Fast Food",Punjabi Bagh,17
8469,Kasba,Kolkata,Sheerazi,350.0,4.3,50,"North Indian,Chinese",Kasba,8
8501,Alwarpet,Chennai,Dhabba Express,500.0,4.0,100,"Punjabi,North Indian,Chinese",Cenotaph Road,14
8587,Barabazar Market,Kolkata,Royal Indian Hotel,450.0,4.3,1000,"North Indian,Biryani,Mughlai",Rabindra Sarani,18
8687,Manicktala,Kolkata,Urbans Cafe,350.0,4.2,20,"Chinese,Mexican,Continental",Near Balika Shiksha Sadan,11
8688,Punjagutta,Hyderabad,Friends Shawarma,200.0,4.3,100,Lebanese,Road No 3,16
8698,Maniktala,Kolkata,New Paul Dhaba,400.0,3.9,1000,"North Indian,Chinese",Maniktala,14
8708,Esplanade,Kolkata,Lazzat,300.0,4.1,100,Chinese,Pearl Road Lower Range Beck Bagan,6
8751,Kankurgachi,Kolkata,Caafe 360 Degree- Kakurgachi,500.0,3.9,100,"Italian,Chinese",C.I.T. Road,28
8766,Ashok Nagar,Bangalore,Beijing Bites,450.0,4.2,500,Chinese,Richmond Road,13
8856,Thousand Lights,Chennai,Ox & Tomato,500.0,4.4,50,"Italian,Pizzas,Pastas,Desserts,Continental,Salads",Opp To Ather Bike Showroom,11
8894,Mylapore,Chennai,Fresh Baked Goodness,250.0,4.7,500,Bakery,Mylapore,20
8912,Taltala,Kolkata,Subway,350.0,4.3,500,Fast Food  Healthy Food  Salads  Snacks  Desserts  Beverages,Park Street,6
8952,Alwarpet,Chennai,Absolute Thai,1400.0,4.4,100,"Thai,Pan-Asian",Teynampet,13
9014,West Marredpally,Hyderabad,Triple A Bakery,100.0,3.9,100,Italian  Bakery,West Marredpally Road,15
